mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.1529	0.25267	0.046	1.0	0.82634	0.04585	0.04827	0.0472	0.05118	0.04656	0.0839	0.04335	0.05022	0.9019	0.9521
0.15651	0.25032	0.04619	1.0	0.8278	0.0443	0.04903	0.05208	0.0499	0.04548	0.07901	0.04057	0.04907	0.88833	0.94755
0.15887	0.25023	0.04524	1.0	0.81952	0.04221	0.04574	0.05136	0.05033	0.04411	0.0781	0.03679	0.04782	0.88664	0.94741
0.15754	0.24919	0.04441	1.0	0.81723	0.04014	0.04613	0.05501	0.05209	0.04595	0.07938	0.02894	0.04831	0.88605	0.94456
0.15523	0.24124	0.04618	1.0	0.81496	0.04074	0.04694	0.04587	0.05826	0.04674	0.08724	0.04576	0.04986	0.88946	0.94324
0.15123	0.24075	0.04605	1.0	0.81461	0.03925	0.04455	0.05475	0.05109	0.04474	0.08662	0.05881	0.04867	0.88864	0.94031
0.15205	0.23803	0.04545	1.0	0.81258	0.04054	0.04548	0.0588	0.05824	0.04513	0.10164	0.12755	0.04885	0.88854	0.93823
0.15144	0.23596	0.04541	1.0	0.80774	0.04065	0.04772	0.06404	0.05352	0.04537	0.10784	0.17429	0.05027	0.8959	0.93811
0.15064	0.23195	0.04528	1.0	0.80535	0.04084	0.04802	0.06569	0.04007	0.04463	0.10403	0.25079	0.05043	0.90033	0.93431
0.14781	0.22745	0.04449	1.0	0.80148	0.0427	0.048	0.06614	0.04053	0.04553	0.11774	0.29286	0.04895	0.90043	0.93423
0.14922	0.22857	0.04504	1.0	0.79632	0.04115	0.0474	0.0658	0.04343	0.04542	0.10334	0.31722	0.04631	0.90455	0.93184
0.14874	0.22596	0.04531	1.0	0.79318	0.0407	0.04881	0.06127	0.04773	0.04602	0.11108	0.37167	0.0476	0.90459	0.93043
0.15157	0.22222	0.04484	1.0	0.78723	0.05397	0.04964	0.07218	0.04593	0.04673	0.1054	0.39604	0.04746	0.9068	0.92794
