mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.26821	0.26992	0.03758	0.68706	0.89451	0.07279	0.06752	0.21166	0.10203	0.04316	0.05598	0.11452	0.04254	0.40486	0.34108
0.25509	0.28231	0.04649	0.68025	0.90464	0.0648	0.05663	0.21923	0.09856	0.04215	0.05861	0.11721	0.04394	0.41791	0.34787
0.29299	0.2799	0.04337	0.68527	0.89951	0.06628	0.0631	0.24169	0.08095	0.05132	0.0414	0.12734	0.04773	0.43584	0.33316
0.27739	0.25585	0.04267	0.70134	0.90438	0.07353	0.06334	0.27382	0.09322	0.0462	0.04994	0.11563	0.04138	0.42709	0.34709
0.28014	0.3217	0.04215	0.69689	0.89861	0.07719	0.063	0.27477	0.08551	0.04565	0.05205	0.12893	0.04786	0.44326	0.33525
0.29941	0.25873	0.05185	0.70334	0.90461	0.06257	0.06856	0.24248	0.09015	0.0579	0.05375	0.10209	0.04239	0.42559	0.348
0.28831	0.28246	0.03857	0.70296	0.90118	0.07688	0.05706	0.23173	0.08526	0.05065	0.05029	0.09972	0.0505	0.4085	0.33044
0.30991	0.32979	0.03852	0.78055	0.90856	0.06544	0.05974	0.22401	0.08395	0.0419	0.04358	0.1113	0.04787	0.44875	0.33289
0.30463	0.29409	0.0493	0.74237	0.91384	0.06767	0.06498	0.23192	0.07877	0.04122	0.05028	0.10722	0.04524	0.43357	0.34223
0.27644	0.29292	0.05153	0.67495	0.92092	0.06711	0.06125	0.23997	0.09634	0.04547	0.05383	0.10252	0.04322	0.44433	0.32475
0.28954	0.30072	0.04846	0.77858	0.91578	0.07696	0.05253	0.24493	0.10326	0.04987	0.04576	0.10675	0.04757	0.42976	0.35049
0.29532	0.31813	0.05035	0.70673	0.92035	0.0688	0.06336	0.25151	0.10179	0.04807	0.04961	0.11198	0.04189	0.43429	0.31325
0.30553	0.34094	0.05204	0.72518	0.92435	0.08645	0.06485	0.2282	0.08579	0.04547	0.04736	0.11493	0.03569	0.44641	0.30714
0.3423	0.40709	0.04699	0.70251	0.92645	0.0642	0.06079	0.2434	0.08566	0.04852	0.04678	0.09242	0.03528	0.44122	0.32572
0.30194	0.31966	0.04285	0.8091	0.92469	0.07494	0.05987	0.22617	0.09867	0.04585	0.04627	0.10537	0.03501	0.42945	0.34546
0.3089	0.32395	0.04308	0.8004	0.92364	0.06407	0.06524	0.24102	0.09975	0.05121	0.04	0.11653	0.02584	0.4114	0.30794
0.33868	0.37585	0.04796	0.80619	0.92455	0.07289	0.0709	0.24832	0.10005	0.04811	0.03874	0.10842	0.02702	0.41497	0.30089
0.30975	0.3863	0.04277	0.79327	0.9275	0.058	0.04989	0.23929	0.09398	0.04046	0.04555	0.08325	0.0205	0.421	0.31494
0.32447	0.36371	0.0456	0.8043	0.92717	0.07241	0.0541	0.23372	0.09438	0.04327	0.04203	0.09971	0.02164	0.42828	0.30263
0.32964	0.39757	0.04359	0.80627	0.92856	0.06552	0.04644	0.23849	0.09249	0.04481	0.04439	0.12378	0.01661	0.41943	0.30887
0.36318	0.35994	0.03666	0.6848	0.92812	0.07674	0.05194	0.22915	0.10214	0.04393	0.04582	0.07696	0.01662	0.35466	0.30437
0.35341	0.41899	0.04211	0.74275	0.92672	0.07384	0.05338	0.2313	0.10664	0.04352	0.0386	0.10788	0.00662	0.40088	0.30684
0.34684	0.36806	0.04492	0.82578	0.93043	0.07109	0.04884	0.2396	0.10019	0.0371	0.03711	0.10003	0.00949	0.40937	0.3206
0.30072	0.42162	0.03622	0.81429	0.92822	0.05755	0.05139	0.24563	0.09944	0.03689	0.04041	0.11621	0.01213	0.40209	0.28837
0.32371	0.3424	0.04042	0.8289	0.93195	0.06627	0.04023	0.27347	0.1033	0.03938	0.0426	0.10332	0.01331	0.34442	0.28909
0.34349	0.4271	0.0374	0.77514	0.92868	0.06968	0.04229	0.2478	0.09888	0.03775	0.03204	0.09593	0.0042	0.37102	0.29534
0.35303	0.44804	0.04607	0.74719	0.92686	0.06736	0.04054	0.26105	0.10873	0.03763	0.03277	0.15437	0.00182	0.37694	0.30034
0.35831	0.40224	0.03443	0.7551	0.92889	0.08038	0.03815	0.24461	0.10687	0.04049	0.02869	0.08756	0.00675	0.37565	0.32655
0.38517	0.44108	0.03762	0.77867	0.93187	0.06678	0.04301	0.25346	0.10633	0.03343	0.03297	0.12414	0.00238	0.34008	0.30868
0.40119	0.40939	0.03738	0.76684	0.93058	0.04772	0.04537	0.25264	0.09788	0.03851	0.02696	0.08075	0.00707	0.34672	0.30361
