mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.57759	0.44059	0.04368	0.6176	0.13153	0.04815	0.05381	0.02652	0.01583	0.04545	0.0739	0.1361	0.04698	0.2049	0.15326
0.58631	0.44511	0.03798	0.62604	0.13674	0.04974	0.04766	0.02713	0.01475	0.04552	0.06906	0.11605	0.04325	0.20258	0.13659
0.56611	0.42881	0.04411	0.6215	0.13881	0.05016	0.0477	0.02578	0.01923	0.04611	0.06805	0.13209	0.04515	0.21584	0.15128
0.57334	0.46903	0.05007	0.61949	0.14653	0.05535	0.03597	0.0334	0.01204	0.05359	0.073	0.12907	0.04632	0.21368	0.14272
0.55728	0.43884	0.04515	0.6126	0.14086	0.05583	0.04673	0.03313	0.01756	0.03754	0.07824	0.14159	0.03906	0.1919	0.14107
0.60325	0.48498	0.04711	0.61825	0.15931	0.05672	0.03848	0.03008	0.01655	0.04966	0.07199	0.11115	0.04891	0.22616	0.14547
0.55626	0.42177	0.04757	0.61487	0.15917	0.05299	0.03966	0.03307	0.0178	0.0472	0.07227	0.13703	0.04751	0.22202	0.16775
0.583	0.46351	0.04528	0.59937	0.1607	0.05039	0.04849	0.03265	0.01608	0.04312	0.07125	0.14705	0.04252	0.22088	0.14712
0.5365	0.41864	0.04414	0.65642	0.17989	0.05871	0.04564	0.0363	0.02153	0.04595	0.07059	0.13215	0.03864	0.19753	0.13857
0.54532	0.45757	0.04459	0.71646	0.17398	0.05444	0.04435	0.02079	0.02023	0.04583	0.07219	0.14848	0.04441	0.1961	0.13176
0.54692	0.46443	0.04158	0.64619	0.19705	0.05311	0.04186	0.02013	0.02173	0.04602	0.07688	0.11572	0.04309	0.19054	0.15122
0.56848	0.44852	0.04714	0.67566	0.18819	0.05163	0.05122	0.02722	0.01304	0.04904	0.07817	0.12678	0.03844	0.19933	0.14041
0.52953	0.42245	0.04374	0.74071	0.19639	0.06252	0.05211	0.02702	0.01119	0.03961	0.06436	0.13084	0.04085	0.17826	0.13485
0.56293	0.44183	0.04419	0.59205	0.20837	0.05173	0.04345	0.02279	0.02009	0.04721	0.07505	0.09268	0.04026	0.21183	0.14737
0.51791	0.4305	0.04386	0.73429	0.20397	0.04289	0.04091	0.02352	0.01928	0.04491	0.06851	0.12428	0.03567	0.19972	0.14409
0.56996	0.41332	0.0411	0.71722	0.19391	0.04945	0.04921	0.02538	0.01628	0.04267	0.06816	0.15503	0.03017	0.2054	0.1416
0.56124	0.41245	0.04224	0.83431	0.2045	0.04895	0.0403	0.03051	0.01625	0.04699	0.05773	0.13562	0.02673	0.19321	0.14949
0.55767	0.41754	0.03915	0.79242	0.21214	0.05207	0.04919	0.0277	0.0166	0.04608	0.06708	0.12986	0.02792	0.22342	0.1444
0.60173	0.40922	0.04384	0.87425	0.21876	0.05741	0.04246	0.02987	0.01616	0.04891	0.06925	0.10673	0.02728	0.20506	0.15043
0.52529	0.37035	0.04061	0.75496	0.19412	0.05495	0.04286	0.02236	0.00936	0.04166	0.06467	0.12399	0.02153	0.20187	0.13696
0.54941	0.41579	0.04635	0.77717	0.20789	0.05865	0.04628	0.02729	0.01584	0.04056	0.06106	0.12951	0.0167	0.23043	0.14835
0.58693	0.44545	0.04309	0.88325	0.20038	0.05228	0.03464	0.02937	0.01928	0.04467	0.05793	0.16719	0.00623	0.21597	0.13526
0.51795	0.39276	0.0427	0.73423	0.20102	0.04883	0.03948	0.03837	0.02049	0.04003	0.04521	0.11459	0.01946	0.20991	0.13791
0.5459	0.38346	0.03782	0.72639	0.20076	0.03988	0.03411	0.0257	0.01199	0.0432	0.05805	0.0932	0.01593	0.19527	0.13587
0.49711	0.37518	0.03478	0.61488	0.20679	0.04218	0.03567	0.03003	0.02346	0.04212	0.057	0.09901	0.01152	0.23119	0.13816
0.4959	0.39064	0.03376	0.60022	0.2006	0.04938	0.0348	0.03377	0.01272	0.03934	0.04909	0.10867	0.01184	0.21739	0.15327
0.5393	0.42418	0.04105	0.65874	0.19741	0.03991	0.03035	0.03013	0.02017	0.03659	0.04707	0.14101	0.00281	0.24564	0.14426
0.48288	0.39957	0.03938	0.67058	0.20157	0.0418	0.02963	0.02158	0.01009	0.03583	0.04076	0.11078	0.00826	0.24615	0.1608
0.51994	0.35884	0.04401	0.60358	0.20019	0.04693	0.02315	0.03016	0.01505	0.03407	0.04064	0.0784	0.01111	0.23045	0.14682
0.52648	0.39733	0.03494	0.58332	0.2057	0.03953	0.03066	0.03253	0.01165	0.03534	0.03588	0.06574	0.00744	0.22976	0.15399
0.51471	0.40733	0.04406	0.68409	0.19761	0.04243	0.02873	0.02451	0.01696	0.03182	0.04377	0.09014	0.0033	0.20582	0.1515
0.47939	0.4375	0.03478	0.68148	0.19288	0.04793	0.02661	0.0285	0.01623	0.03714	0.03171	0.12139	0.00396	0.22665	0.15869
0.46876	0.42719	0.03608	0.71444	0.1988	0.05172	0.02518	0.03039	0.0139	0.04021	0.0284	0.10133	0.00219	0.20913	0.15968
0.47828	0.39034	0.0369	0.69	0.19866	0.05155	0.02204	0.02758	0.01338	0.03674	0.02918	0.06298	0.00986	0.208	0.1507
0.53301	0.41584	0.03887	0.71143	0.19786	0.05332	0.02254	0.03438	0.01849	0.03505	0.03193	0.10959	0.0078	0.23686	0.14749
0.48023	0.42779	0.03435	0.6801	0.19994	0.03474	0.02377	0.02619	0.01364	0.03585	0.02635	0.15409	0.00954	0.23244	0.1303
0.46711	0.38174	0.03642	0.73536	0.19619	0.03597	0.01421	0.02674	0.0153	0.03596	0.02422	0.12078	0.01101	0.2229	0.16938
0.5244	0.37456	0.03636	0.72353	0.20285	0.03427	0.01691	0.02727	0.01754	0.03049	0.01864	0.13643	0.00705	0.25229	0.17046
0.5265	0.39302	0.03815	0.80432	0.20268	0.04148	0.02004	0.02974	0.01596	0.03709	0.02638	0.09476	0.0099	0.22628	0.18089
0.4645	0.35879	0.03293	0.6453	0.20191	0.04196	0.01404	0.02323	0.01527	0.03358	0.02672	0.08186	0.00301	0.21433	0.16294
0.48347	0.40228	0.03737	0.74793	0.19651	0.03366	0.01972	0.02844	0.01236	0.03681	0.02558	0.10067	0.00456	0.31474	0.16128
0.51544	0.38491	0.03306	0.69289	0.19869	0.03887	0.01924	0.02714	0.01806	0.03532	0.02325	0.09822	0.00319	0.21632	0.16459
0.43635	0.36524	0.03199	0.5886	0.20269	0.03828	0.01736	0.02613	0.01715	0.03772	0.01787	0.06616	0.00491	0.27342	0.15522
0.47294	0.39095	0.0312	0.56984	0.20008	0.03567	0.01483	0.02955	0.01492	0.03188	0.02523	0.0936	0.0028	0.25464	0.15284
